YR,MO,DA,HHMM,Day,Day,S,Bx,By,Bz,Bt,Lat.,Long.
2003,10,30,0000,52942,0,0,-8.5,3.3,-15.4,17.9,-59.4,158.7
2003,10,30,0001,52942,60,0,-8.6,3.3,-15.5,18.0,-59.3,159.0
2003,10,30,0002,52942,120,0,-9.1,4.0,-14.9,17.9,-56.3,156.5
2003,10,30,0003,52942,180,0,-8.2,3.8,-15.5,18.0,-59.8,155.4
2003,10,30,0004,52942,240,0,-8.2,3.7,-15.8,18.2,-60.4,155.9
2003,10,30,0005,52942,300,0,-6.9,2.7,-16.2,17.8,-65.4,158.7
2003,10,30,0006,52942,360,0,-3.1,0.8,-18.6,18.9,-80.1,166.2
2003,10,30,0007,52942,420,0,-2.3,0.6,-18.5,18.7,-82.6,166.2
2003,10,30,0008,52942,480,0,0.8,-1.8,-18.6,18.7,-83.9,294.3
2003,10,30,0009,52942,540,0,-4.1,1.7,-18.0,18.5,-76.1,157.0
2003,10,30,0010,52942,600,0,-4.7,2.6,-18.1,18.9,-73.6,151.0
2003,10,30,0011,52942,660,0,-5.4,3.4,-17.9,19.0,-70.5,147.8
2003,10,30,0012,52942,720,0,-5.3,2.9,-18.1,19.1,-71.5,151.2
2003,10,30,0013,52942,780,0,-4.7,2.2,-18.4,19.1,-74.1,155.1
2003,10,30,0014,52942,840,0,-4.4,1.5,-18.4,19.0,-75.9,161.1
2003,10,30,0015,52942,900,0,-4.8,2.9,-17.7,18.6,-72.3,148.7
2003,10,30,0016,52942,960,0,-5.2,3.9,-17.1,18.3,-69.0,143.1
2003,10,30,0017,52942,1020,0,-7.3,4.1,-16.2,18.2,-62.5,150.5
2003,10,30,0018,52942,1080,0,-8.0,5.6,-15.3,18.1,-57.4,145.3
2003,10,30,0019,52942,1140,0,-7.2,6.4,-15.0,17.9,-57.2,138.2
2003,10,30,0020,52942,1200,0,-4.8,3.6,-18.1,19.1,-71.7,142.5
2003,10,30,0021,52942,1260,0,-4.2,2.6,-18.7,19.3,-75.0,148.1
2003,10,30,0022,52942,1320,0,-3.7,1.5,-18.9,19.4,-78.1,157.5
2003,10,30,0023,52942,1380,0,-3.7,2.6,-18.9,19.5,-76.5,145.1
2003,10,30,0024,52942,1440,0,-3.1,3.3,-18.9,19.5,-76.5,133.7
2003,10,30,0025,52942,1500,0,-3.4,1.0,-19.1,19.4,-79.4,163.6
2003,10,30,0026,52942,1560,0,-3.9,1.0,-19.0,19.4,-78.1,164.9
2003,10,30,0027,52942,1620,0,-4.1,2.0,-18.8,19.3,-76.4,154.4
2003,10,30,0028,52942,1680,0,-3.5,2.0,-18.8,19.2,-77.8,151.2
2003,10,30,0029,52942,1740,0,-4.4,2.6,-18.2,18.9,-74.2,149.8
2003,10,30,0030,52942,1800,0,-4.0,0.9,-17.8,18.2,-77.1,166.8
2003,10,30,0031,52942,1860,0,-2.0,-1.6,-18.6,18.8,-82.1,219.4
2003,10,30,0032,52942,1920,0,-1.5,-0.7,-18.7,18.7,-84.9,204.8
2003,10,30,0033,52942,1980,0,-1.0,-0.4,-18.8,18.8,-86.8,203.1
2003,10,30,0034,52942,2040,0,0.3,-3.8,-18.6,18.9,-78.4,274.2
2003,10,30,0035,52942,2100,0,0.2,-3.3,-18.6,18.9,-79.8,272.7
2003,10,30,0036,52942,2160,0,-0.5,-4.2,-18.4,18.9,-77.2,263.1
2003,10,30,0037,52942,2220,0,0.1,-3.5,-18.5,18.8,-79.3,272.4
2003,10,30,0038,52942,2280,0,-0.8,-2.2,-18.8,18.9,-82.9,250.0
2003,10,30,0039,52942,2340,0,-0.8,-1.8,-18.8,18.9,-84.0,246.1
2003,10,30,0040,52942,2400,0,-0.7,-2.2,-18.9,19.0,-82.9,253.8
2003,10,30,0041,52942,2460,0,-1.1,-1.9,-19.0,19.1,-83.5,239.2
2003,10,30,0042,52942,2520,0,-1.1,-1.6,-19.0,19.1,-84.1,235.1
