IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT
BEL,20.8,51.83,95.93,47.67
LVV,23.75,49.9,98.08,45.51
SUA,26.25,45.32,99.48,40.38
AND,16.03,69.3,100.1,66.45
LMM,32.58,-25.92,100.12,-35.87
ABK,18.82,68.35,101.53,65.31
ISK,29.06,41.07,101.53,35.59
NUR,24.65,60.5,102.03,56.91
KIR,20.42,67.84,102.43,64.7
MLT,30.89,29.52,102.5,21.93
TRO,18.94,69.66,102.64,66.65
TAR,26.46,58.26,102.76,54.51
KIL,20.77,69.06,103.59,65.94
HAN,26.6,62.25,104.39,58.68
PEL,24.08,66.9,104.72,63.57
MUO,23.53,68.02,105.01,64.74
SOR,22.22,70.54,105.9,67.37
OUJ,27.23,64.52,105.97,61.01
MAS,23.7,69.46,106.18,66.21
CZT,51.87,-46.43,106.22,-53.2
ELT,34.95,29.67,106.57,22.73
SOD,26.63,67.37,107.07,63.95
QSB,35.64,33.87,107.42,27.75
BJN,19.2,74.5,107.77,71.51
IVA,27.29,68.56,108.38,65.14
HOR,15.6,77,108.98,74.17
HRN,15.6,77,108.98,74.17
KEV,27.01,69.76,109.02,66.37
NAL,11.95,78.92,110.45,76.24
AAE,38.77,9.03,110.68,0.42
LYR,15.83,78.2,111.39,75.3
TAN,47.55,-18.92,116.86,-28.71
PAF,70.26,-49.35,122.32,-58.57
AMS,77.57,-37.8,138.9,-49.14
ABG,72.87,18.62,145.39,12.09
NVS,82.9,55.03,155.72,50.86
CSY,110.53,-66.28,156.87,-80.78
NOK,88.1,69.4,161.98,64.86
LZH,103.85,36.09,176.31,30.58
IRT,104.45,52.17,177.49,47.48
PHU,105.95,21.03,177.86,14.17
