YR,MO,DA,HHMM,Day,Day_1,S,Bx,By,Bz,Bt,Lat,Long
2003,10,29,1835,52941,66900,0,-31.3,-15.4,-23.5,42.1,-33.9,206.2
2003,10,29,1836,52941,66960,0,-31,-14,-24.7,42.1,-36,204.3
2003,10,29,1837,52941,67020,0,-31.2,-15.1,-24,42.2,-34.7,205.8
2003,10,29,1838,52941,67080,0,-30.3,-13.1,-25.6,41.8,-37.8,203.5
2003,10,29,1839,52941,67140,0,-30.7,-10.8,-25.9,41.6,-38.5,199.3
2003,10,29,1840,52941,67200,0,-31.1,-9.7,-25.7,41.5,-38.2,197.4
2003,10,29,1841,52941,67260,0,-31.2,-8.7,-25.7,41.4,-38.5,195.6
2003,10,29,1842,52941,67320,0,-33.5,-8,-23.1,41.4,-33.8,193.5
2003,10,29,1843,52941,67380,0,-33.5,-5.7,-23.5,41.3,-34.7,189.6
2003,10,29,1844,52941,67440,0,-28.4,-10.8,-28,41.3,-42.8,200.8
2003,10,29,1845,52941,67500,0,-28,-11.5,-29,42,-43.8,202.2
2003,10,29,1846,52941,67560,0,-29.5,-10,-28.3,42.1,-42.3,198.8
2003,10,29,1847,52941,67620,0,-29.8,-10.3,-27.9,42.1,-41.5,199
2003,10,29,1848,52941,67680,0,-29.9,-5.3,-28.4,41.6,-43.1,190
2003,10,29,1849,52941,67740,0,-29.7,-5.2,-28.6,41.5,-43.5,189.9
2003,10,29,1850,52941,67800,0,-29.6,-8.9,-27.3,41.2,-41.4,196.8
2003,10,29,1851,52941,67860,0,-27,-16.4,-25,40.3,-38.3,211.3
2003,10,29,1852,52941,67920,0,-24.7,-20.5,-24.3,40.3,-37.1,219.7
2003,10,29,1853,52941,67980,0,-23.7,-20.2,-24.1,39.4,-37.7,220.4
2003,10,29,1854,52941,68040,0,-23.7,-16.9,-26.8,39.6,-42.6,215.4
2003,10,29,1855,52941,68100,0,-23.1,-14.1,-28.5,39.3,-46.5,211.4
2003,10,29,1856,52941,68160,0,-23.6,-13.3,-28.4,39.3,-46.3,209.3
2003,10,29,1857,52941,68220,0,-23.3,-13.9,-27.8,38.8,-45.7,210.7
2003,10,29,1858,52941,68280,0,-23.4,-14.8,-26.8,38.5,-44,212.2
2003,10,29,1859,52941,68340,0,-23.2,-16.6,-25.7,38.4,-42,215.6
2003,10,29,1900,52941,68400,0,-23.5,-17.6,-24.7,38.4,-40.1,216.8
2003,10,29,1901,52941,68460,0,-23.8,-17.1,-25,38.5,-40.5,215.7
2003,10,29,1902,52941,68520,0,-23.5,-15.5,-26.2,38.4,-42.9,213.4
