HUA	VRE	KOU	MBO	TAM	BNG	MLT	AAE	ABG	PHU	TND	GUA	API	HON	PPT
0	0	8	-8	-21	-22	-37	-31	-30	-25	-1	0	24	12	21
0	0	1	-16	-30	-29	-39	-34	-34	-30	-25	-12	4	1	11
-8	-1	0	-26	-37	-37	-51	-39	-40	-39	-35	-35	3	0	0
8	16	26	0	-4	-4	-14	-22	-9	0	0	0	34	31	36
21	30	37	4	0	0	-6	-12	0	0	5	6	-83	37	94
22	29	37	4	0	0	-7	-12	0	0	4	5	-83	37	46
37	39	51	14	6	7	0	2	4	9	13	13	-83	51	81
31	34	39	22	12	12	-2	0	0	0	28	29	49	49	49
30	34	40	9	0	0	-4	0	0	0	4	7	-83	46	50
25	30	39	0	0	0	-9	0	0	0	0	0	-84	44	47
1	25	35	0	-5	-4	-13	-28	-4	0	0	0	-84	34	42
0	12	35	0	-6	-5	-13	-29	-7	0	0	0	-84	34	41
-24	-4	-3	-34	83	83	83	-49	83	84	84	84	0	-3	-3
-12	-1	0	-31	-37	-37	-51	-49	-46	-44	-34	-34	3	0	0
-21	-11	0	-36	-94	-46	-81	-49	-50	-47	-42	-41	3	0	0
