MAW	CZT	LMM	ELT	QSB	ISK	SUA	LVV	HLP	TAR	HAN	OUJ	SOD	SOR	BJN	HRN	ALE
1	0.00112303917599612	0.00865505805176408	0.000158326682866087	0.000507546284551386	0.000807699395525029	0.000595291909148313	0.000531025893540086	0.000452187038999024	0.000418125566599796	0.00119793969373118	0.0946927762169532	0.0679962065296838	0.0227223864188182	0.136804417971577	0.229755948541427	0.680535601093470
0.00112303917599608	1.00000000000000	0.952585821973970	0.982265656016651	0.989857742199940	0.991484845884335	0.983154865896515	0.987231896932324	0.983543239879255	0.970310400295560	0.878211172803178	0.700460407889339	0.821146751873129	0.866213105700440	0.638380224176047	0.411728293503623	0.000163497636281468
0.00865505805176415	0.952585821973970	1	0.986801409376161	0.975509102453410	0.967392458589141	0.962051146920521	0.964408990937142	0.955909907837568	0.942117262959592	0.819399321135486	0.651494800975751	0.791496909894436	0.852675579726406	0.640858663914273	0.454226461555708	0.0102867545486261
0.000158326682866009	0.982265656016651	0.986801409376161	1	0.989392904640725	0.983344174500567	0.972238419648228	0.974373176003058	0.965993367788078	0.950125027874555	0.834430257516731	0.634931080614327	0.783804158632916	0.848415507947692	0.649542627887826	0.426816600949403	-8.05365453733100e-05
0.000507546284551439	0.989857742199940	0.975509102453410	0.989392904640725	1.00000000000000	0.997312011084290	0.992958097421008	0.993397816606865	0.985848451034867	0.972947700435184	0.865887661284125	0.689595968470934	0.829220743007796	0.874482798341737	0.634085053516763	0.401597468319041	-0.000364605707751319
0.000807699395524978	0.991484845884335	0.967392458589141	0.983344174500567	0.997312011084290	1	0.996181724770333	0.996892418322101	0.991746306530052	0.981766010902537	0.871182675721072	0.701542875836105	0.833648675319033	0.868835704544739	0.621559013510992	0.390807996840617	-0.000332317918244727
0.000595291909148298	0.983154865896515	0.962051146920521	0.972238419648228	0.992958097421008	0.996181724770333	1.00000000000000	0.997611067186558	0.992456365851793	0.987632588623904	0.878119996060753	0.732396731625950	0.855916949647318	0.881036857156189	0.616921607396066	0.397822765308705	4.57297375868619e-05
0.000531025893540099	0.987231896932324	0.964408990937142	0.974373176003058	0.993397816606865	0.996892418322102	0.997611067186558	1.00000000000000	0.996106100057997	0.989943852972539	0.873445976733628	0.726934763430207	0.850025349626028	0.877541870903715	0.618603111011111	0.398955770864894	-6.55127710171878e-05
0.000452187038998996	0.983543239879255	0.955909907837568	0.965993367788078	0.985848451034867	0.991746306530052	0.992456365851793	0.996106100057997	1	0.991206973899116	0.865214126112895	0.742442365544909	0.855995731697009	0.877744533163235	0.613214147517414	0.402985010812826	-7.05897450363483e-05
0.000418125566599747	0.970310400295560	0.942117262959592	0.950125027874555	0.972947700435184	0.981766010902537	0.987632588623904	0.989943852972539	0.991206973899116	1.00000000000000	0.892912311474479	0.777672805674357	0.880022184196144	0.885537112810260	0.590903258443029	0.406516487609111	9.19344523774662e-05
0.00119793969373118	0.878211172803178	0.819399321135486	0.834430257516731	0.865887661284125	0.871182675721072	0.878119996060753	0.873445976733628	0.865214126112895	0.892912311474479	1	0.771907834474337	0.884201705236929	0.876765118227684	0.513832618554039	0.427075881765662	0.000463335721200433
0.0946927762169531	0.700460407889339	0.651494800975751	0.634931080614327	0.689595968470934	0.701542875836105	0.732396731625950	0.726934763430207	0.742442365544909	0.777672805674357	0.771907834474337	1.00000000000000	0.911790776754104	0.806303816932214	0.397794730652360	0.423645938629923	0.0823700094985641
0.0679962065296838	0.821146751873129	0.791496909894436	0.783804158632916	0.829220743007796	0.833648675319033	0.855916949647318	0.850025349626028	0.855995731697009	0.880022184196144	0.884201705236929	0.911790776754104	1.00000000000000	0.910389981411992	0.541639099952567	0.407105132896871	0.0320251900167405
0.0227223864188182	0.866213105700440	0.852675579726406	0.848415507947692	0.874482798341737	0.868835704544740	0.881036857156189	0.877541870903715	0.877744533163235	0.885537112810260	0.876765118227684	0.806303816932214	0.910389981411992	1.00000000000000	0.727003227352152	0.482578233980075	0.0191745880423000
0.136804417971577	0.638380224176047	0.640858663914273	0.649542627887826	0.634085053516763	0.621559013510993	0.616921607396066	0.618603111011111	0.613214147517414	0.590903258443029	0.513832618554039	0.397794730652359	0.541639099952567	0.727003227352152	1.00000000000000	0.828021152538107	0.101563011461784
0.229755948541427	0.411728293503623	0.454226461555708	0.426816600949403	0.401597468319041	0.390807996840617	0.397822765308705	0.398955770864894	0.402985010812826	0.406516487609111	0.427075881765662	0.423645938629923	0.407105132896871	0.482578233980075	0.828021152538107	1.00000000000000	0.137870500812581
0.680535601093470	0.000163497636281382	0.0102867545486261	-8.05365453733100e-05	-0.000364605707751336	-0.000332317918244853	4.57297375868576e-05	-6.55127710172630e-05	-7.05897450363351e-05	9.19344523774975e-05	0.000463335721200473	0.0823700094985641	0.0320251900167404	0.0191745880423000	0.101563011461784	0.137870500812581	1
