DRV	LEM	ASP	KDU	WEP	WEW	GUA	CBI	KAG	HTY	KAK	ONW	RIK	MSR	MGD	CHD
1	0.103884677016607	0.690344266244586	0.0259249412635782	0.0232330040294153	0.0224458919948556	0.0332198209625895	0.0210771841221716	0.0696122699747746	0.0198867235999463	0.0195573095926894	0.0196311809848314	0.0180173883426729	0.0443819651361842	0.214205104333169	0.0584997406513193
0.103884677016607	1.00000000000000	0.312580481648213	0.849111286349664	0.823266378877665	0.788020867541957	0.739659215950095	0.750724356999327	0.751822465071537	0.747827209581061	0.749486718857978	0.746883096690117	0.777200310426751	0.806616707226456	0.402510244570288	0.741517426979159
0.690344266244586	0.312580481648213	1	0.123566722883793	0.0928685567933533	0.0781743302433176	0.145821316458101	0.0900117886001942	0.123306367405987	0.0669929244097268	0.0526475595029541	0.0483376484847700	0.0821340537704148	0.124675262373887	0.282552943471373	0.196493291979393
0.0259249412635782	0.849111286349664	0.123566722883793	1.00000000000000	0.988187079242814	0.989240608078581	0.975901220885065	0.977453209155352	0.959594392809762	0.965427891619998	0.960113169328029	0.957757124266385	0.951992546442547	0.966141907153383	0.556650069201408	0.813151937404736
0.0232330040294153	0.823266378877665	0.0928685567933534	0.988187079242814	1	0.990496114920059	0.970327660878745	0.959699054307762	0.921627815713731	0.940068556961398	0.942685365727499	0.942586420376134	0.925784414668930	0.931257057869843	0.537164827955775	0.755420967138282
0.0224458919948555	0.788020867541957	0.0781743302433176	0.989240608078581	0.990496114920059	1.00000000000000	0.982293900144800	0.987203239466057	0.958371421108613	0.973849345423345	0.975170856284933	0.973074829124199	0.958356552354537	0.960049764933948	0.559439330465416	0.787814082599428
0.0332198209625895	0.739659215950095	0.145821316458101	0.975901220885065	0.970327660878745	0.982293900144800	1.00000000000000	0.982469243238131	0.960024153762668	0.963791454712449	0.948254554142236	0.948044814275691	0.923836893552343	0.941985128547899	0.580920477226635	0.807160632877221
0.0210771841221717	0.750724356999327	0.0900117886001943	0.977453209155352	0.959699054307762	0.987203239466057	0.982469243238131	1	0.988805524242114	0.994460824322990	0.987885288288043	0.984343775588339	0.974656609348446	0.980947132042491	0.572522910723963	0.833509356791160
0.0696122699747745	0.751822465071537	0.123306367405987	0.959594392809762	0.921627815713731	0.958371421108613	0.960024153762668	0.988805524242114	1.00000000000000	0.988817217311150	0.974040704343560	0.966776048072326	0.969312405866827	0.986664330977251	0.553906650582449	0.858970294525193
0.0198867235999463	0.747827209581061	0.0669929244097267	0.965427891619998	0.940068556961398	0.973849345423345	0.963791454712449	0.994460824322990	0.988817217311150	1.00000000000000	0.994533395523772	0.992816869590461	0.987536183331066	0.986955436588423	0.565185918512514	0.857781956008224
0.0195573095926895	0.749486718857978	0.0526475595029541	0.960113169328029	0.942685365727499	0.975170856284933	0.948254554142236	0.987885288288043	0.974040704343560	0.994533395523772	1.00000000000000	0.998522592890218	0.994500782597696	0.982371089883947	0.555335057170934	0.853377063194410
0.0196311809848314	0.746883096690117	0.0483376484847701	0.957757124266385	0.942586420376134	0.973074829124199	0.948044814275691	0.984343775588339	0.966776048072326	0.992816869590461	0.998522592890218	1	0.992623014923683	0.977539557547154	0.557034425044514	0.849169043942449
0.0180173883426731	0.777200310426751	0.0821340537704148	0.951992546442547	0.925784414668930	0.958356552354537	0.923836893552344	0.974656609348446	0.969312405866827	0.987536183331066	0.994500782597696	0.992623014923682	1.00000000000000	0.988661938959602	0.544437492106277	0.888758690083826
0.0443819651361840	0.806616707226456	0.124675262373887	0.966141907153383	0.931257057869843	0.960049764933948	0.941985128547899	0.980947132042491	0.986664330977251	0.986955436588423	0.982371089883947	0.977539557547154	0.988661938959602	1.00000000000000	0.550567979194457	0.889836666405725
0.214205104333169	0.402510244570288	0.282552943471373	0.556650069201408	0.537164827955775	0.559439330465416	0.580920477226635	0.572522910723963	0.553906650582449	0.565185918512514	0.555335057170934	0.557034425044514	0.544437492106277	0.550567979194457	1	0.548249343502531
0.0584997406513191	0.741517426979159	0.196493291979393	0.813151937404737	0.755420967138282	0.787814082599428	0.807160632877221	0.833509356791160	0.858970294525192	0.857781956008224	0.853377063194410	0.849169043942449	0.888758690083826	0.889836666405725	0.548249343502531	1
