Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2003-10-29T06:52:00,60,AAE,38.77,9.03,110.68,0.42,9.86,89.58,1.56,40.64,-75.9,141.4,24.4,-79.7,139.2,24.4
2003-10-29T06:52:00,60,ABG,72.87,18.62,145.39,12.09,12.17,77.91,-0.95,31.95,-162.7,93.9,40.7,-161.1,96.6,40.7
2003-10-29T06:52:00,60,ABK,18.82,68.35,101.53,65.31,9.25,24.69,5.57,90.23,65.5,435.5,573.9,22.9,439.8,573.9
2003-10-29T06:52:00,60,AIA,295.74,-65.25,9.11,-50.28,3.09,140.28,16.77,95.14,67,-60.8,261.2,81.7,-38.8,261.2
2003-10-29T06:52:00,60,ALE,297.5,82.5,94,87.16,8.75,2.84,-64.85,108.61,275.7,-1092.9,588.6,-872.2,-714,588.6
2003-10-29T06:52:00,60,AMK,322.37,65.6,53.63,69.05,6.06,20.95,-27.96,110.57,65.25,-753.1,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,AMS,77.57,-37.8,138.9,-49.14,11.74,139.14,-39.11,24.81,-145.2,-413.3,165.6,-373.4,-229.1,165.6
2003-10-29T06:52:00,60,AND,16.03,69.3,100.1,66.45,9.15,23.55,4.01,91.6,-28.4,291.9,-692.3,-48.7,289.2,-692.3
2003-10-29T06:52:00,60,API,188.22,-13.8,-97.37,-15.58,19.99,105.58,11.45,110.39,96.3,-26.1,-31.3,99.5,-6.4,-31.3
2003-10-29T06:52:00,60,AQU,13.32,42.38,87.29,36.34,8.3,53.66,1.76,78,-433.3,-47.2,-44.7,-431.7,-60.4,-44.7
2003-10-29T06:52:00,60,ARC,214.44,68.12,-96.08,68.83,20.08,21.17,26.12,119.85,-1637.5,1691.1,-204.2,-2214.8,797.4,-204.2
2003-10-29T06:52:00,60,ASC,345.62,-7.95,56.11,-15.2,6.22,105.2,-16.9,85.59,-35.4,-28.8,3.6,-42.2,-17.2,3.6
2003-10-29T06:52:00,60,ASP,133.88,-23.77,-152.74,-34.04,16.3,124.04,5.16,58.3,12.6,25.9,-42.2,10.2,26.9,-42.2
2003-10-29T06:52:00,60,ATU,306.43,67.93,38.14,74.2,5.02,15.8,-37.96,115.55,-27.15,-2.85,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,B03,291.88,-67.57,7.64,-52.47,2.99,142.47,20.69,94.34,-66.9,-31.6,291.4,-51.4,-53.1,291.4
2003-10-29T06:52:00,60,B04,41.08,-68.58,73.64,-66.18,7.39,156.18,-50,58.9,-560.95,177.7,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,B11,336.58,-77.51,30.11,-63.47,4.49,153.47,-3.39,78.35,-1055,387,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,B12,335.88,-79.08,29.1,-64.7,4.42,154.7,-2.79,78.24,-1549.05,596.3,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,B15,2.97,-81.49,36.66,-68.6,4.93,158.6,-24.66,73.89,-2043.1,805.6,-1803.4,-1520.7,1584.6,-1803.4
2003-10-29T06:52:00,60,B17,347.76,-82.9,30.3,-68.53,4.5,158.53,-12.63,76.17,-1992.3,1831.2,-1395.5,-1543.6,2222.6,-1395.5
2003-10-29T06:52:00,60,B18,336.14,-84.35,25.78,-69.17,4.2,159.17,-3.2,77.4,-1725.6,2291.3,-669.1,-1594.9,2384.1,-669.1
2003-10-29T06:52:00,60,B19,2.06,-85.36,29.96,-71.17,4.48,161.17,-26.28,75.19,-1935.4,955.2,-1075.6,-1312.4,1713.4,-1075.6
2003-10-29T06:52:00,60,B20,95.98,-85.36,30.09,-77.75,4.49,167.75,-118.22,72.4,-834.1,-472.3,-1149.9,-21.7,958.2,-1149.9
2003-10-29T06:52:00,60,B21,28.41,-87,28.91,-73.39,4.41,163.39,-52.45,74.54,-1836.5,33,-1067.6,-1093.2,1476.1,-1067.6
2003-10-29T06:52:00,60,B22,68.17,-86.51,30.66,-75.54,4.53,165.54,-90.82,73.19,-1179.4,-620.9,-1232.5,-603.9,1188.2,-1232.5
2003-10-29T06:52:00,60,B23,316.13,-88.03,19.78,-72.18,3.8,162.18,14.84,77.56,-893.15,-368.35,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,BDV,14.02,49.07,89.32,44.57,8.44,45.43,2.07,81.09,-606.9,-115.8,23.2,-602.3,-137.6,23.2
2003-10-29T06:52:00,60,BEL,20.8,51.83,95.93,47.67,8.88,42.33,4.04,79.18,-801.2,49.9,-51.9,-802.8,-6.7,-51.9
2003-10-29T06:52:00,60,BET,208.45,66.9,-100,66.55,19.82,23.45,22.64,118.98,-1122.5,1809.8,119.6,-1732.7,1238.2,119.6
2003-10-29T06:52:00,60,BFE,11.67,55.62,89.31,52.12,8.44,37.88,1.39,85.77,-1022.5,-210.8,-376.6,-1017.1,-235.4,-376.6
2003-10-29T06:52:00,60,BJN,19.2,74.5,107.77,71.51,9.67,18.49,6.68,93.93,-165.7,327.6,587.6,-202.7,306.1,587.6
2003-10-29T06:52:00,60,BLC,263.99,64.32,-31.98,73.76,0.35,16.24,-1.93,128.44,-1321.3,-1356.1,193,-1366.1,-1310.9,193
2003-10-29T06:52:00,60,BMT,116.2,40.3,-171,34.7,15.08,55.3,-6.15,66.96,-184.4,119.5,-10.1,-170.6,138.6,-10.1
2003-10-29T06:52:00,60,BNG,18.57,4.33,90.32,-7.75,8.5,97.75,-0.66,56.79,-190.9,46.7,14.4,-190.3,48.9,14.4
2003-10-29T06:52:00,60,BOU,254.76,40.14,-40.05,48.93,23.81,41.07,10.16,153.15,297.7,-54.7,-34.9,302.7,-1.4,-34.9
2003-10-29T06:52:00,60,BRW,203.38,71.32,-108.13,70.21,19.27,19.79,21.7,114.87,-1768.3,720.3,-86.5,-1909.3,15.6,-86.5
2003-10-29T06:52:00,60,BSL,270.36,30.35,-19.21,41.22,1.2,48.78,0.44,156.6,303.3,-117,62.7,304.2,-114.7,62.7
2003-10-29T06:52:00,60,CBB,254.97,69.12,-50.3,77.08,23.13,12.92,14.41,124.2,-1880.4,481,-324.4,-1940.9,-2.2,-324.4
2003-10-29T06:52:00,60,CBI,142.3,27.15,-146.38,19.99,16.72,70.01,-3.49,78.46,-79.1,53.4,-2,-75.7,58.1,-2
2003-10-29T06:52:00,60,CCS,104.28,77.72,175.87,72.2,14.21,17.8,16.56,92.79,-2098.1,1705.6,1211.2,-2497.2,1036.9,1211.2
2003-10-29T06:52:00,60,CER,289.4,-33.45,0.67,-20.22,2.53,110.22,3.78,121.73,179,-80.1,-10,183.9,-68.1,-10
2003-10-29T06:52:00,60,CHD,147.89,70.62,-146.94,65.13,16.69,24.87,-13.84,97.68,-833.6,-242.4,-73.2,-867.4,-35.9,-73.2
2003-10-29T06:52:00,60,CLF,2.27,48.02,79.15,43.53,7.76,46.47,-1.33,87.48,-483.6,-227.9,-33.5,-488.8,-216.6,-33.5
2003-10-29T06:52:00,60,CMO,212.14,64.87,-95.41,65.14,20.12,24.86,23.48,121.44,-1445,2130.7,468.7,-2174.3,1378.6,468.7
2003-10-29T06:52:00,60,CNB,150.7,-34.1,-131.84,-43.83,17.69,133.83,12.59,72.53,194,-166.6,25.8,225.7,-120.3,25.8
2003-10-29T06:52:00,60,CNL,248.75,65.75,-56.62,73.05,22.71,16.95,22.21,127.5,-1482.7,772.4,127.2,-1664.6,154.8,127.2
2003-10-29T06:52:00,60,CSY,110.53,-66.28,156.87,-80.78,12.94,170.78,-99.61,58.58,115.7,-1590.9,509.5,-1587.9,151.6,509.5
2003-10-29T06:52:00,60,CTA,146.3,-20.1,-139.56,-29.11,17.18,119.11,7.8,70.06,14.4,-17.9,-32.9,16.7,-15.8,-32.9
2003-10-29T06:52:00,60,CUL,149.58,-30.28,-134.06,-39.82,17.54,129.82,11,71.91,71.7,-144.5,-40.6,97.9,-128.2,-40.6
2003-10-29T06:52:00,60,CZT,51.87,-46.43,106.22,-53.2,9.56,143.2,-48.8,37.54,-657.5,-241.2,-142.9,-614.6,335.8,-142.9
2003-10-29T06:52:00,60,DAW,220.89,64.05,-87.04,65.99,20.68,24.01,26.2,124.63,-2514.1,322.7,248.4,-2398.3,-820.5,248.4
2003-10-29T06:52:00,60,DLR,259.08,29.49,-33.4,38.82,0.26,51.18,7.1,162.87,295.7,-55.8,62.8,300.3,-18.8,62.8
2003-10-29T06:52:00,60,DMH,341.37,76.77,85.13,77.2,8.16,12.8,-22.6,103.33,-420.1,-786.9,1158,-690.2,-565.1,1158
2003-10-29T06:52:00,60,DOB,9.11,62.07,90,59.29,8.48,30.71,0.06,90.16,-786.2,-1.4,620.5,-786.2,-2.2,620.5
2003-10-29T06:52:00,60,DOU,4.6,50.1,81.65,46.03,7.92,43.97,-0.76,86.94,-604.4,-258.2,14.3,-607.8,-250.2,14.3
2003-10-29T06:52:00,60,DRV,140.01,-66.67,-124.11,-80.5,18.21,170.5,172.29,68.78,878.4,915.9,62,-993.4,-789.7,62
2003-10-29T06:52:00,60,EAG,218.84,64.78,-89.46,66.32,20.52,23.68,26,123.5,260.95,318.2,NaN,NaN,NaN,NaN
2003-10-29T06:52:00,60,EBR,0.49,40.82,76.07,33.86,7.55,56.14,-1.3,85.91,-356.5,-279.5,-199.9,-362.8,-271.4,-199.9
2003-10-29T06:52:00,60,ELT,34.95,29.67,106.57,22.73,9.59,67.27,3.33,56.49,-328.8,210.5,4.6,-340.5,191,4.6
2003-10-29T06:52:00,60,ESK,356.8,55.32,77.09,52.75,7.62,37.25,-4.64,93.27,-1035.5,-361.8,-135.2,-1061.4,-276.8,-135.2
