IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT,MLT
LZH,103.85,36.09,176.31,30.58,0.61
ONW,141.47,38.43,-146.8,31.57,3.07
SPT,355.65,39.55,71.88,32.06,17.64
EBR,0.49,40.82,76.07,33.86,17.92
BMT,116.2,40.3,-171,34.7,1.45
ISK,29.06,41.07,101.53,35.59,19.62
AQU,13.32,42.38,87.29,36.34,18.67
PPI,131.73,42.98,-155.7,36.69,2.47
MMB,144.19,43.91,-144.33,37.13,3.23
MSR,142.27,44.37,-146.03,37.66,3.12
DLR,259.08,29.49,-33.4,38.82,10.63
TUC,249.27,32.17,-45.16,39.76,9.84
SUA,26.25,45.32,99.48,40.38,19.48
THY,17.54,46.9,91.89,42.02,18.98
NCK,16.72,47.63,91.33,42.87,18.94
FRN,240.28,37.09,-56.15,42.98,9.11
HRB,18.19,47.86,92.68,43.15,19.03
FUR,11.28,48.17,86.74,43.52,18.64
CLF,2.27,48.02,79.15,43.53,18.13
BDV,14.02,49.07,89.32,44.57,18.81
LVV,23.75,49.9,98.08,45.51,19.39
DOU,4.6,50.1,81.65,46.03,18.3
MAB,5.68,50.3,82.6,46.23,18.36
PET,158.25,52.97,-133.12,46.49,3.98
IRT,104.45,52.17,177.49,47.48,0.69
HAD,355.52,50.98,74.53,47.66,17.82
BEL,20.8,51.83,95.93,47.67,19.25
NGK,12.68,52.07,89,48.08,18.79
FRD,282.63,38.2,-1.83,48.85,12.73
BOU,254.76,40.14,-40.05,48.93,10.18
VAL,349.75,51.93,70.23,49.39,17.54
WNG,9.07,53.75,86.5,50.13,18.62
HLP,18.82,54.61,95,50.77,19.19
NVS,82.9,55.03,155.72,50.86,23.23
BFE,11.67,55.62,89.31,52.12,18.81
ESK,356.8,55.32,77.09,52.75,17.99
STJ,307.32,47.6,31.19,53.22,14.93
VIC,236.58,48.52,-63.52,53.73,8.62
MGD,150.86,59.97,-140.35,53.9,3.5
TAR,26.46,58.26,102.76,54.51,19.7
OTT,284.45,45.4,1.43,55.66,12.95
LOV,17.83,59.35,95.85,55.92,19.24
UPS,17.35,59.9,95.68,56.53,19.23
NUR,24.65,60.5,102.03,56.91,19.65
LER,358.82,60.13,80.82,57.99,18.24
HAN,26.6,62.25,104.39,58.68,19.81
DOB,9.11,62.07,90,59.29,18.85
SIT,224.67,57.06,-79.4,59.76,7.56
PIN,263.96,50.2,-28.94,60.33,10.92
OUJ,27.23,64.52,105.97,61.01,19.92
MEA,246.65,54.62,-53.74,61.94,9.27
RVK,10.99,64.94,93.1,62.22,19.06
GAK,214.87,62.39,-91.43,63.14,6.76
PEL,24.08,66.9,104.72,63.57,19.83
SOD,26.63,67.37,107.07,63.95,19.99
ISL,265.34,53.86,-27.34,64.02,11.03
FMC,248.79,56.66,-51.71,64.36,9.41
KIR,20.42,67.84,102.43,64.7,19.68
MUO,23.53,68.02,105.01,64.74,19.85
NOK,88.1,69.4,161.98,64.86,23.65
LRV,338.3,64.18,66.75,64.91,17.3
CHD,147.89,70.62,-146.94,65.13,3.06
CMO,212.14,64.87,-95.41,65.14,6.49
IVA,27.29,68.56,108.38,65.14,20.08
ABK,18.82,68.35,101.53,65.31,19.62
PBQ,282.26,55.28,-0.94,65.47,12.79
PKR,212.57,65.12,-95.22,65.48,6.5
NAQ,314.56,61.16,43.08,65.93,15.72
KIL,20.77,69.06,103.59,65.94,19.76
DAW,220.89,64.05,-87.04,65.99,7.05
MAS,23.7,69.46,106.18,66.21,19.93
EAG,218.84,64.78,-89.45,66.32,6.89
KEV,27.01,69.76,109.01,66.37,20.12
GIM,265.36,56.38,-27.68,66.44,11.01
AND,16.03,69.3,100.1,66.45,19.53
BET,208.45,66.9,-100,66.55,6.19
TRO,18.94,69.66,102.64,66.65,19.7
RAL,256.32,58.22,-41.82,67.14,10.07
FYU,214.78,66.56,-94.43,67.33,6.56
SOR,22.22,70.54,105.9,67.37,19.91
FSP,238.77,61.76,-66.72,67.38,8.41
FHB,310.32,62,38.89,67.62,15.45
FCC,265.91,58.76,-27.24,68.75,11.04
ARC,214.44,68.12,-96.08,68.83,6.45
AMK,322.37,65.6,53.63,69.05,16.43
YKC,245.52,62.48,-58.76,69.39,8.94
BRW,203.38,71.32,-108.13,70.21,5.64
JAN,351.3,70.9,82.94,70.24,18.38
KTN,137.71,75.94,-158.19,70.4,2.31
KAV,216.35,70.14,-96.53,71.15,6.42
BJN,19.2,74.5,107.77,71.51,20.04
SCO,338.03,70.48,72.06,71.51,17.66
SKT,307.1,65.42,37.09,71.64,15.33
IQA,291.48,63.75,14.85,72.54,13.84
STF,309.28,67.02,40.84,72.82,15.58
CNL,248.75,65.75,-56.62,73.05,9.08
BLC,263.99,64.32,-31.98,73.76,10.72
HOR,15.6,77,108.98,74.17,20.12
HRN,15.6,77,108.98,74.17,20.12
ATU,306.43,67.93,38.14,74.2,15.4
DNB,339.78,74.3,78.89,75.06,18.11
LYR,15.83,78.2,111.39,75.3,20.28
GDH,306.47,69.25,39.4,75.45,15.48
NAL,11.95,78.92,110.45,76.24,20.22
UMQ,307.87,70.68,42.73,76.57,15.7
CBB,254.97,69.12,-50.3,77.08,9.5
DMH,341.37,76.77,85.13,77.2,18.53
KUV,302.82,74.57,42.42,80.91,15.68
NRD,343.33,81.6,103.17,81.08,19.73
RES,265.11,74.69,-39.08,83.08,10.25
SVS,294.9,76.02,33.27,83.29,15.07
THL,290.77,77.47,29.74,85.03,14.84
ALE,297.5,82.5,94,87.16,19.12
