IAGA,GEOLON,GEOLAT,MAGLON,MAGLAT,MLT
CSY,110.53,-66.28,156.87,-80.78,23.31
DRV,140.01,-66.67,-124.11,-80.5,4.58
MCM,166.67,-77.85,-32.9,-79.92,10.66
SBA,166.78,-77.85,-32.9,-79.9,10.66
B20,95.98,-85.36,30.09,-77.75,14.86
B22,68.17,-86.51,30.66,-75.54,14.9
SPA,0,-90,18.94,-74.1,14.12
B21,28.41,-87,28.91,-73.39,14.78
B23,316.13,-88.03,19.78,-72.18,14.17
B19,2.06,-85.36,29.96,-71.17,14.85
MAW,62.88,-67.61,90.27,-70.25,18.87
B18,336.14,-84.35,25.78,-69.17,14.57
B15,2.97,-81.49,36.66,-68.6,15.3
B17,347.76,-82.9,30.3,-68.53,14.87
B14,337.74,-80.89,28.8,-66.31,14.77
B04,41.08,-68.58,73.64,-66.18,17.76
B12,335.88,-79.08,29.1,-64.7,14.79
MCQ,158.95,-54.5,-111.74,-64.39,5.4
B11,336.58,-77.51,30.11,-63.47,14.86
PAF,70.26,-49.35,122.32,-58.57,21.01
LEM,147.5,-42.3,-133.21,-53.23,3.97
CZT,51.87,-46.43,106.22,-53.2,19.93
B03,291.88,-67.57,7.64,-52.47,13.36
AIA,295.74,-65.25,9.11,-50.28,13.46
EYR,172.4,-43.4,-103.47,-50.06,5.95
AMS,77.57,-37.8,138.9,-49.14,22.11
CNB,150.7,-34.1,-131.84,-43.83,4.06
HER,19.23,-34.43,82.83,-42.28,18.38
CUL,149.58,-30.28,-134.06,-39.82,3.92
PNT,289.1,-53.2,2.75,-38.7,13.04
PST,302.11,-51.7,10.5,-38.31,13.55
HBK,27.71,-25.88,95.28,-35.96,19.2
ASP,133.88,-23.77,-152.74,-34.04,2.67
LRM,115,-21,-173.24,-31.73,1.3
TSU,17.7,-19.22,86.99,-30.48,18.65
TRW,294.68,-43.25,4.91,-29.77,13.18
CTA,146.3,-20.1,-139.56,-29.11,3.55
TAN,47.55,-18.92,116.86,-28.71,20.64
PAC,289.91,-40.34,1.52,-26.69,12.95
OSO,286.91,-40.34,-0.49,-26.59,12.82
VLD,286.86,-39.48,-0.62,-25.78,12.81
