DRV	ASP	CTA	KDU	WEP	WEW	GUA	CBI	KAG	HTY	KAK	ONW	MSR	MGD	CHD	KTN
1.00000000000000	0.770534078764941	0.799809984935625	0.823397005155024	0.852502617625589	0.873622163037320	0.877977393632967	0.833713475439391	0.791164173842540	0.806397706654040	0.799796121332253	0.799792909265978	0.704896552922723	0.773442637491439	0.883130078244068	0.684158079274911
0.770534078764941	1	0.988466330513568	0.976704149086051	0.966948342605410	0.953614499859721	0.934584786527281	0.957318193340009	0.980640313456782	0.983145949908944	0.979848737073008	0.985364172244500	0.972647943936307	0.910578719517422	0.785747053767335	0.698789902244839
0.799809984935625	0.988466330513568	1.00000000000000	0.979548809141193	0.981150568412356	0.970015481580360	0.951279335462646	0.967123708284334	0.975433710373367	0.981839388829790	0.978531665818670	0.983162496505412	0.949459731085633	0.920720724668420	0.804897071795576	0.703291023380127
0.823397005155024	0.976704149086051	0.979548809141192	1	0.995928084773238	0.989616156146684	0.983798881312165	0.996055756477197	0.994692848414065	0.994496469982230	0.992678401419922	0.987546422287972	0.923961619263302	0.933156382859901	0.794093662561227	0.645386051600773
0.852502617625589	0.966948342605410	0.981150568412356	0.995928084773238	1.00000000000000	0.997159926849329	0.991571442467124	0.995186065163903	0.985116795037967	0.988653144375577	0.985730137044572	0.981764302089419	0.909462209642324	0.936003527203171	0.818704634190429	0.662720349466667
0.873622163037320	0.953614499859721	0.970015481580360	0.989616156146684	0.997159926849329	1	0.996351548494231	0.991958638412193	0.977440936281537	0.983007615638662	0.979223612906008	0.975315078041865	0.895314573350164	0.926015572104186	0.839909782854762	0.685580486097089
0.877977393632967	0.934584786527281	0.951279335462646	0.983798881312165	0.991571442467124	0.996351548494231	1	0.991328908181760	0.968970683061977	0.972552911840072	0.968853325415287	0.961450248404093	0.866958303371365	0.932002718381006	0.826998923609164	0.655271362027750
0.833713475439391	0.957318193340009	0.967123708284334	0.996055756477197	0.995186065163903	0.991958638412193	0.991328908181760	1.00000000000000	0.988292049244829	0.988651201213075	0.988340171458471	0.980218701588180	0.900152578955910	0.935498890846236	0.784267872080228	0.630921481846953
0.791164173842540	0.980640313456782	0.975433710373367	0.994692848414065	0.985116795037967	0.977440936281537	0.968970683061977	0.988292049244829	1.00000000000000	0.997030656161700	0.995261369069913	0.991218849674178	0.943630009070005	0.917082400103493	0.787705337146790	0.662045576628821
0.806397706654040	0.983145949908944	0.981839388829790	0.994496469982230	0.988653144375577	0.983007615638662	0.972552911840072	0.988651201213075	0.997030656161700	1	0.998739367841246	0.997452970296903	0.951844429748385	0.918155936401346	0.798177554736998	0.682582454138104
0.799796121332253	0.979848737073008	0.978531665818670	0.992678401419922	0.985730137044572	0.979223612906008	0.968853325415287	0.988340171458471	0.995261369069913	0.998739367841246	1.00000000000000	0.998120977178837	0.951518357805527	0.914479660222968	0.777065673561991	0.668471981634099
0.799792909265978	0.985364172244500	0.983162496505412	0.987546422287972	0.981764302089419	0.975315078041865	0.961450248404093	0.980218701588180	0.991218849674178	0.997452970296903	0.998120977178837	1	0.965125744238104	0.910444089261216	0.787481038984267	0.693612132996977
0.704896552922723	0.972647943936307	0.949459731085633	0.923961619263302	0.909462209642324	0.895314573350164	0.866958303371365	0.900152578955910	0.943630009070005	0.951844429748385	0.951518357805527	0.965125744238104	1.00000000000000	0.847047450914020	0.742111732402064	0.705265217004583
0.773442637491439	0.910578719517422	0.920720724668420	0.933156382859901	0.936003527203171	0.926015572104186	0.932002718381006	0.935498890846236	0.917082400103493	0.918155936401346	0.914479660222968	0.910444089261216	0.847047450914020	1.00000000000000	0.731268169269545	0.682436423729824
0.883130078244068	0.785747053767335	0.804897071795576	0.794093662561227	0.818704634190429	0.839909782854762	0.826998923609164	0.784267872080228	0.787705337146790	0.798177554736999	0.777065673561991	0.787481038984267	0.742111732402064	0.731268169269545	1.00000000000000	0.842004798249749
0.684158079274911	0.698789902244839	0.703291023380127	0.645386051600773	0.662720349466667	0.685580486097089	0.655271362027750	0.630921481846953	0.662045576628821	0.682582454138104	0.668471981634099	0.693612132996977	0.705265217004584	0.682436423729824	0.842004798249749	1.00000000000000
